improvement_NOUN	1834	17521	2033
in	1872	9482623	4768
in	1891	14220512	7600
in	1893	15374006	8214
in	1920	23719629	14671
in	1927	21077496	12560
in	1899	20220314	11421
in	1946	20584512	12452
in	1964	51256528	30661
in	1982	80116078	48444
in	1991	109428725	68157
in	1992	120754791	72390
in	1994	126838291	76661
in	1995	130379009	77888
in	1998	147264313	87418
in	2003	207810072	127057
in	2006	234716203	148337
in_ADP	1860	10044082	4921
in_ADP	1897	17092305	9632
in_ADP	1899	20035777	11421
in_ADP	1905	22844455	12833
in_ADP	1930	21300114	13131
in_ADP	1932	18034086	10940
in_ADP	1963	51044685	29568
in_ADP	1967	63474341	37633
in_ADP	1968	68471091	40613
in_ADP	1970	70002416	42049
in_ADP	1982	79448303	48444
in_ADP	1987	95142146	57853
in_ADP	1988	99089036	60667
in_ADP	1990	112374831	69214
in_ADP	1992	119674109	72389
in_ADP	1995	129186816	77888
in_ADP	1998	145881124	87418
in_ADP	1999	154407879	91978
in_ADP	2001	173218570	104146
in_ADP	2002	189483514	117201
in_ADP	2003	205633354	127057
in_ADP	2004	221424712	139614
in_ADP	2005	217650096	138130
in_ADP	2006	232279271	148337
incest	1988	25153	4048
incidents_NOUN	1893	14253	3953
included_VERB	2001	1226297	86355
including_VERB	2006	3436084	133539
include	1948	108708	11016
including	2005	3307362	125406
inclusion_NOUN	1982	61154	18825
income_NOUN	1939	125030	5910
increasing	1943	61204	6890
incurred_VERB	2005	132548	27716
indeed	1885	173427	7126
indirectly	2001	127298	40919
individual	1983	1188522	42521
individual	1996	1999284	69517
inferences_NOUN	2003	61134	14764
individual_NOUN	1955	115408	9725
individuals_NOUN	1830	21831	2056
inflation_NOUN	1967	40511	5970
informal	2002	251427	42723
inheriting	2004	9144	6405
injured_VERB	1995	61699	19583
in_PRT	1958	140915	15392
inserted_VERB	1976	55082	14486
institutions_NOUN	2002	949345	57528
instruction_NOUN	1932	46185	5191
instrument_NOUN	1897	50144	6030
insurgents_NOUN	1837	2072	398
intelligence_NOUN	2008	834036	110860
interactions	2003	437787	41027
interesting	1868	38698	3693
interesting_ADJ	1996	556243	63408
international_ADJ	2007	1914173	81242
interest_NOUN	1985	1244299	47525
interpret_VERB	1985	84116	24508
intersection_NOUN	1975	25796	6486
interview	1975	119965	15410
introduced	1950	106942	12082
invariably_ADV	2004	128403	46159
inverting	1988	5651	2088
investigation	2007	572645	79390
invitation_NOUN	2008	273939	87918
irregular	1920	32317	6633
irritate	2003	11323	7641
is	1947	13047208	14113
is	1954	15363924	16197
is	1961	24378517	25752
is	1982	43466835	48393
is	1991	59766979	68122
is	2002	105154387	117166
is	2003	114840123	127011
is_VERB	1823	2046015	2096
is_VERB	1951	15488130	15415
it	1877	4104824	5657
it	1982	19622720	48275
it_PRON	2000	46470151	103175
its	1908	2422324	13772
its	1991	8710054	66798
its	2003	16397766	124163
itself_PRON	1992	1628650	64532
can	2003	28162872	126225
came	1968	1213224	34114
camp	1921	62571	5564
can	1966	5556447	34930
candidate	2007	371673	56302
can_VERB	1932	1393142	10843
can_VERB	1925	1462349	11537
can	2005	29029618	137185
can_VERB	1969	6293645	39842
can_VERB	1976	7302169	44467
can_VERB	1987	10912005	57437
can_VERB	2001	22872569	103514
can_VERB	2008	36333794	205598
capitalist	1992	148193	13517
capricious	1989	9431	5609
capture_VERB	1975	28022	12072
care	1987	952747	47784
care_NOUN	1883	102971	7482
care	1921	159214	11332
care_NOUN	1998	1662117	70803
care_VERB	2007	628287	101365
carrier	1986	120173	13154
carry	1926	100181	9880
castles	1972	10015	3872
categories	1987	280593	33031
cast_VERB	1982	104828	25193
castles	2001	25310	8349
catalyst	1993	55867	12142
categories_NOUN	2008	590074	66587
